item_id,item_name,,item_alternate_name,is_approved
365,Red Label Tea,,"Gajjar, carrot, carot, gajar, gaajar, gajjar, gajaru, gadda, gajjari, sheema, mullangi, manja, gujjara, gadda, gajaru, gajjari, kyaret, gajara, kerat,,Gajar, Gaajar, Pratiphalam, Carrot",
366,Red Leaves,,"cauliflower, phool, phul, gobi, puuvu, puvvu, kosu, flower, phulkobi, gobhi, kubis, bunga, band, pookkosu, kasugadda, hukosina, yele,Phoolgobi, Phool-Gobi, Phool Gobi, Kaliphlavar, Go",
367,Red Peanut Teekha Masala,,"celery, stalk, ajmud, randhuni, shalari, bandhuri, chanur, bodiajmoda, ayamodakam, ajmod,celeriac",
368,Red Raspberry,,"mirliton, gŸisquil, pipinola and choko,vegetable pear,chayote ",
369,Roasted Chana Barfi,,"serrano, chilly, chilli, pepper, mirch, lanka, mirchi, mirchan, milagai, mirapa, kayi, menasina, kayi, marcha,Green Chilli, Chilly, Chili, Hari Mirch, Mirchi, M",
370,Roasted Channa Hing Jeera,,"serrano, chilly, chilli, pepper, mirch, lanka, mirchi, mirchan, milagai, mirapa, kayi, menasina, kayi, marcha,Green Chilli, Chilly, Chili, Hari Mirch, Mirchi, M",
371,Roma Tomato,,"napa, napa cabbage, pe-tsai, wongbok, or chihli,cabbage,Patta Gobi, Patara Gobi, Kobi, Bandhakobi",
372,Romaine Lettuce,,"cilantro, dhaniya, kothimbir, kothamalli, dhaniyalu, korthambari, coriander, corriander, daaniwal, kothambalari, dhaniyalu, kothamalli, vidai,Dhanya Pata, Dhania Patar, Kottimira Akulu",
373,Rose Wonder,,"maize,corn",
374,Round Valor Beans,,"cucumber,southekai,kheera",
375,Royal Garam Masala,,"cucumber, kakdi, kheera, vellarikka, khira, sasha, sausha, souche, kayi, laar, kakudi, tar, kakkarikkari, dosakayi, timun",
376,Sabji Masala,,"Mooli,muli,daikon,mulangi,white raddish",
377,Sabudana,,"dosakai,mangalore southekai,khira,kankri",
378,Sambhar Masala,,"Singh Phali, Munigha, Sajana Chhuni,Singh Phali, Munigha, Sajana Chhuni",
379,Sarso Saag,,"Singh Phali, Munigha, Sajana Chhuni,Singh Phali, Munigha, Sajana Chhuni",
380,Serrano Chilli,,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
381,Sev Laddu (Vermicilli Ball),,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
382,Seviyan Roasted Long Cut (Vermicelli),,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
383,Seviyan Short Cut (Vermicelli),,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
384,Shahi Biryani Masala,,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
385,Shahi Paneer Masala,,"eggplant, egg, plant, baingan, vanga, varutina, varutunai, brinjal, begun, ringna, badane, waangum, vazhu, thininga, vange, baigan, bataun, kathiri, vankaya, kathirikkai, badanekayi,,Baingan, Baigana, Vankai, Vankaya, Baaigan",
386,Sindhi Biryani Masala,,"Hot House cucumbers,Cucumber,English,Khira",
387,Sindhi Biryani Mix,,"shelling peas,garden peas,peas,matar",
388,Sinqua,,"Vicia faba,Broad beans,beans,fava,faba bean,horse bean",
389,Snake Gourd,,"Methi, fenugreek, green, leafy, menthya, vendayam, menthulu, uluva, ila, uluhaal, venthyam, venthiya, keerai, kasoori, sag, menthina, soppu, menthkoora, menthe, meeth, methe, meth,Mentulu Akulu, Methi",
390,Snow Peas,,"mint, pudina, green, marga, pallo, pudhina, poodina, hara, pudyanu, vodthalaun, fudino, koora, pudhinaa",
391,Sooji,,"Paalak, Palak, Spinac, Palang, Palanga Saga, Saag,,Paalak, Palak, Spinac, Palang, Palanga Saga, Saag",
392,Special Brain Masala,,"peeled garlic,belluli",
393,Special Cake Rusk Finest Quality Hand Made Cake Rusk,,"garlic, poondu, vellai, veluthulli, vellulli, velluli, veluli, velluri, ullipayilu, vellipaaya, tellapayalu, bellulli, lehsan, lasun, lasoon, rasun, rashun, rasuna, lassan, losan, lahsun, bolluli, bollulli, ruhan, leshun, lassun",
394,Special Jeeravati,,"garlic, poondu, vellai, veluthulli, vellulli, velluli, veluli, velluri, ullipayilu, vellipaaya, tellapayalu, bellulli, lehsan, lasun, lasoon, rasun, rashun, rasuna, lassan, losan, lahsun, bolluli, bollulli, ruhan, leshun, lassun",
395,Speciality Blend,,"Adrak, ginger, ada, adu, shunti, adraka, inch, ala, allamu, sonthi,Adrak, Aadarak, Ginger Root, Allam",
396,Spring Onion,,"gongura, green, leaves, leafy, ambadi, sorrel, pulicha, keerai, pandi, pitwaa, ambad, mestapat, nalite, saga, ela",
397,Strawberry,,"tomato, takkali, pazham, tametokai, ruwangum, tamatar, tambate, goore, hannu, tamota,Tamato, Tamatar, Tamota, Tomata",
398,Sugar Cane,,"Green beans,green,beans,hurlikai",
